Time,(([sp155] + [sp156]) + [sp_0]),(([sp147] + [sp148]) + [sp_1]),(([sp151] + [sp152]) + [sp_2]),(([BJ2x2_7] + [BJ2x2_15]) + [BJ2x2_23])
437486.8564652613,0,611,0,0
438036.0870613411,0,610,0,0
438559.02600912604,0,612,0,0
439067.173447757,0,609,0,0
439589.34451079194,0,612,0,0
440084.4247948886,0,611,0,0
440629.11960784125,0,609,0,0
441120.0723703828,0,607,0,0
441707.8227127021,0,610,0,0
442236.2149785943,0,612,0,0
442739.1839170659,0,612,0,0
443196.6623883944,0,614,0,0
443679.29981718026,0,612,0,0
444285.36389466474,0,609,0,0
444787.7665008614,0,610,0,0
445262.26114081166,0,610,0,0
445825.4141863539,0,609,0,0
446251.6444980967,0,611,0,0
446854.4343368262,0,616,0,0
447356.0592763883,0,615,0,0
447851.983501175,0,615,0,0
448371.47654882644,0,614,0,0
448841.24877714925,0,610,0,0
449378.43875036587,0,612,0,0
449923.2858655877,0,614,0,0
450424.87980215135,0,618,0,0
450928.87039707083,0,618,0,0
451442.0152502698,0,613,0,0
451941.4597561554,0,617,0,0
452441.239192274,0,612,0,0
452932.86064501916,0,614,0,0
453444.7724627596,0,617,0,0
453952.4444693894,0,613,0,0
454461.36274201254,0,614,0,0
454964.8119333526,0,614,0,0
455519.1355498621,0,612,0,0
456038.5703330824,0,615,0,0
456520.7550711977,0,613,0,0
457026.31570644374,0,613,0,0
457633.2416324017,0,617,0,0
458137.02494832524,0,615,0,0
458591.16137894266,0,613,0,0
459200.009800967,0,609,0,0
459699.9332003349,0,612,0,0
460221.2722901582,0,612,0,0
460711.15086655715,0,611,0,0
461249.5562397,0,611,0,0
461750.0846985572,0,610,0,0
462316.54957172845,0,612,0,0
462795.4159418399,0,615,0,0
463327.8984449245,0,613,0,0
463834.5307644662,0,611,0,0
464334.48569114355,0,613,0,0
464855.39402441384,0,612,0,0
465365.80995955446,0,613,0,0
465931.94413528906,0,616,0,0
466331.4885646105,0,615,0,0
466989.36912278924,0,615,0,0
467530.08209869143,0,615,0,0
468019.3889627806,0,612,0,0
468543.181765043,0,614,0,0
469036.32124276576,0,614,0,0
469518.778040098,0,614,0,0
470064.138423447,0,613,0,0
470567.75848220434,0,613,0,0
471079.2560220722,0,616,0,0
471570.6965649067,0,614,0,0
472093.6605581323,0,617,0,0
472643.5379116121,0,616,0,0
473160.1163211184,0,609,0,0
473673.9837940381,0,615,0,0
474171.4791676249,0,621,0,0
474638.8907461278,0,622,0,0
475198.3318624634,0,619,0,0
475694.7423811681,0,613,0,0
476226.14294700033,0,615,0,0
476712.8686307663,0,614,0,0
477341.7786638167,0,612,0,0
477853.2436409094,0,616,0,0
478388.31414434715,0,615,0,0
478886.2550702205,0,613,0,0
479435.16261102416,0,616,0,0
479970.9296795885,0,614,0,0
480476.5681924393,0,614,0,0
480998.34807390015,0,610,0,0
481553.90274339926,0,610,0,0
482063.2034371327,0,613,0,0
482605.5748865973,0,612,0,0
483030.9269908275,0,609,0,0
483616.7971579581,0,612,0,0
483978.88578324683,0,612,0,0
484591.3933885636,0,614,0,0
485155.79309923074,0,616,0,0
485660.297995483,0,619,0,0
486152.9091786228,0,615,0,0
486652.76104055287,0,615,0,0
487180.455393318,0,616,0,0
487633.8319921784,0,615,0,0
488181.53291791334,0,611,0,0
488656.3727660068,0,607,0,0
489245.90080341394,0,613,0,0
489820.76967345853,0,616,0,0
490317.54366514133,0,613,0,0
490794.9868027073,0,610,0,0
491305.18278468563,0,608,0,0
491862.81171654817,0,611,0,0
492332.9017168493,0,607,0,0
492860.33986825607,0,610,0,0
493344.63741472695,0,610,0,0
493900.1732258471,0,610,0,0
494446.02822688484,0,611,0,0
494956.2640608092,0,611,0,0
495443.6535168071,0,610,0,0
495991.3158777862,0,609,0,0
496542.1606494484,0,611,0,0
497064.66280201747,0,615,0,0
497567.6378713202,0,611,0,0
498089.7724657011,0,613,0,0
498587.6110425869,0,612,0,0
499124.95927320514,0,615,0,0
499624.5299300877,0,613,0,0
499998.96978726925,0,617,0,0
499999.9999999897,0,617,0,0
